id_beneficiario;local_dorme;status;estrangeiro;egresso_prisional
169;PENSAO;ATIVO;0;0
170;CENTRO_ACOLHIDA;ATIVO;0;1
171;RUA;INATIVO;0;0
172;CASA;INATIVO;0;0
173;CASA;ATIVO;0;0
174;CASA;ATIVO;0;0
175;CASA;ATIVO;0;0
176;PASSAGEM_PELA_CIDADE;ATIVO;1;0
177;CASA;ATIVO;0;1
178;PENSAO;INATIVO;0;0
179;RUA;ATIVO;0;0
180;CASA;INATIVO;0;0
181;CASA;ATIVO;0;0
182;CASA;ATIVO;0;0
183;CENTRO_ACOLHIDA;ATIVO;0;0
184;CASA;ATIVO;0;0
185;CENTRO_ACOLHIDA;ATIVO;1;1
186;CASA;ATIVO;1;0
187;CASA;ATIVO;0;0
188;CENTRO_ACOLHIDA;INATIVO;0;1
189;CASA;ATIVO;0;1
190;RUA;ATIVO;0;0
191;CASA;INATIVO;0;0
192;PENSAO;ATIVO;0;0
193;RUA;ATIVO;0;1
194;RUA;ATIVO;0;1
195;CASA;ATIVO;0;0
196;CASA;ATIVO;0;0
197;CASA;ATIVO;0;0
198;PENSAO;ATIVO;0;0
199;CASA;BANIDO;0;1
200;CENTRO_ACOLHIDA;ATIVO;0;0
201;RUA;ATIVO;0;0
202;CASA;ATIVO;0;0
203;CASA;ATIVO;0;0
204;CENTRO_ACOLHIDA;ATIVO;0;0
205;CASA;ATIVO;0;0
206;PENSAO;ATIVO;0;1
207;RUA;ATIVO;0;0
208;RUA;ATIVO;0;0
209;RUA;ATIVO;0;0
210;CASA;ATIVO;0;0
211;CASA;INATIVO;0;0
212;CASA;INATIVO;0;0
213;PASSAGEM_PELA_CIDADE;ATIVO;0;0
214;CASA;ATIVO;0;0
215;PENSAO;ATIVO;0;1
216;CENTRO_ACOLHIDA;INATIVO;0;0
217;CENTRO_ACOLHIDA;ATIVO;0;0
218;CASA;INATIVO;0;1
219;CENTRO_ACOLHIDA;ATIVO;0;0
220;CASA;ATIVO;0;0
221;CENTRO_ACOLHIDA;INATIVO;0;0
222;PASSAGEM_PELA_CIDADE;ATIVO;0;1
223;PASSAGEM_PELA_CIDADE;ATIVO;0;0
224;PENSAO;ATIVO;0;0
225;RUA;SUSPENSO;0;1
226;CENTRO_ACOLHIDA;ATIVO;0;1
227;CASA;ATIVO;0;0
228;RUA;ATIVO;0;0
229;CASA;ATIVO;0;0
230;RUA;ATIVO;0;0
231;RUA;INATIVO;0;1
232;RUA;ATIVO;0;0
233;RUA;ATIVO;0;0
234;CASA;ATIVO;0;1
235;CENTRO_ACOLHIDA;ATIVO;0;0
236;CASA;SUSPENSO;0;1
237;CASA;ATIVO;1;0
238;RUA;ATIVO;0;0
239;CASA;ATIVO;0;1
240;RUA;ATIVO;0;0
241;CASA;INATIVO;0;0
242;CENTRO_ACOLHIDA;ATIVO;1;0
243;PENSAO;ATIVO;0;1
244;PASSAGEM_PELA_CIDADE;ATIVO;0;0
245;CASA;ATIVO;0;1
246;CASA;ATIVO;0;0
247;RUA;SUSPENSO;0;1
248;RUA;ATIVO;0;1
249;CASA;ATIVO;0;0
250;PENSAO;ATIVO;0;0
251;CASA;ATIVO;0;0
252;CASA;INATIVO;1;0
253;CASA;SUSPENSO;0;0
254;CASA;ATIVO;0;0
255;CASA;ATIVO;0;0
256;RUA;SUSPENSO;0;1
257;RUA;ATIVO;0;0
258;CASA;ATIVO;0;1
259;CASA;SUSPENSO;0;1
260;PENSAO;ATIVO;0;0
261;CASA;SUSPENSO;0;0
262;RUA;ATIVO;0;0
263;CASA;ATIVO;0;1
264;PENSAO;INATIVO;0;0
265;PASSAGEM_PELA_CIDADE;INATIVO;0;0
266;CASA;ATIVO;0;1
267;RUA;INATIVO;0;1
268;RUA;SUSPENSO;0;0
269;CASA;INATIVO;0;0
270;PASSAGEM_PELA_CIDADE;ATIVO;0;1
271;CENTRO_ACOLHIDA;INATIVO;0;0
272;CASA;ATIVO;0;0
273;CASA;ATIVO;0;0
274;CASA;SUSPENSO;0;0
275;RUA;ATIVO;0;0
276;CENTRO_ACOLHIDA;ATIVO;0;0
277;CASA;ATIVO;0;0
278;RUA;INATIVO;0;0
279;RUA;ATIVO;0;1
280;CASA;ATIVO;0;1
281;RUA;SUSPENSO;0;0
282;RUA;INATIVO;0;1
283;CENTRO_ACOLHIDA;ATIVO;0;0
284;CENTRO_ACOLHIDA;ATIVO;0;0
285;CASA;ATIVO;0;0
286;CASA;SUSPENSO;0;0
287;RUA;ATIVO;1;0
288;CASA;ATIVO;0;1
289;CASA;SUSPENSO;0;0
290;CASA;ATIVO;0;1
291;CASA;ATIVO;0;0
292;PENSAO;INATIVO;0;0
293;CASA;INATIVO;0;1
294;RUA;ATIVO;0;0
295;RUA;INATIVO;0;0
296;CASA;SUSPENSO;0;0
297;CASA;ATIVO;0;0
298;PENSAO;ATIVO;0;0
299;CASA;ATIVO;0;1
300;CASA;ATIVO;0;1
301;CASA;ATIVO;0;0
302;CASA;ATIVO;0;0
303;CASA;INATIVO;0;0
304;PASSAGEM_PELA_CIDADE;ATIVO;0;0
305;CASA;SUSPENSO;0;0
306;PENSAO;ATIVO;0;0
307;CASA;ATIVO;0;0
308;CASA;ATIVO;0;0
309;RUA;SUSPENSO;0;0
310;RUA;ATIVO;0;0
311;RUA;SUSPENSO;0;0
312;RUA;BANIDO;0;0
313;RUA;SUSPENSO;0;0
314;CASA;ATIVO;0;0
315;CASA;SUSPENSO;0;0
316;CASA;ATIVO;0;0
317;CASA;ATIVO;0;0
318;CASA;ATIVO;0;0
319;PASSAGEM_PELA_CIDADE;ATIVO;0;0
320;CASA;ATIVO;1;0
321;RUA;SUSPENSO;0;0
322;CASA;ATIVO;0;0
323;CENTRO_ACOLHIDA;ATIVO;0;0
324;RUA;ATIVO;0;0
325;CASA;ATIVO;0;0
326;RUA;ATIVO;0;0
327;PENSAO;ATIVO;0;0
328;CASA;ATIVO;0;1
329;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
330;CASA;ATIVO;0;0
331;CASA;SUSPENSO;0;0
332;RUA;ATIVO;0;0
333;CASA;ATIVO;0;1
334;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
335;RUA;ATIVO;1;0
336;CASA;ATIVO;0;0
337;CASA;SUSPENSO;0;1
338;CASA;ATIVO;0;1
339;RUA;ATIVO;0;0
340;CASA;ATIVO;0;0
341;CENTRO_ACOLHIDA;INATIVO;0;1
342;RUA;SUSPENSO;0;0
343;CASA;ATIVO;0;0
344;CASA;ATIVO;0;0
345;RUA;ATIVO;0;1
346;CASA;ATIVO;0;0
347;CASA;ATIVO;0;0
348;RUA;ATIVO;0;1
349;CASA;ATIVO;0;0
350;CASA;ATIVO;0;0
351;CENTRO_ACOLHIDA;ATIVO;0;0
352;PASSAGEM_PELA_CIDADE;ATIVO;0;1
353;CASA;ATIVO;0;0
354;RUA;ATIVO;0;1
355;CASA;ATIVO;0;1
356;CASA;ATIVO;0;0
357;CENTRO_ACOLHIDA;ATIVO;0;0
358;CASA;ATIVO;0;0
359;CASA;ATIVO;0;1
360;RUA;ATIVO;0;1
361;CASA;ATIVO;0;0
362;PASSAGEM_PELA_CIDADE;ATIVO;0;0
363;CASA;ATIVO;0;0
364;CASA;ATIVO;0;0
365;CASA;ATIVO;0;0
